step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,2.7669588328494523,2.581883573184048,0.38092525068368277,0.5091240875912408,0.24192813898749996,0.3698292972832701,0.1425478577939836,0.23722627737226276,0.11078104131270129,0.20336722756606818,0.06717666121897582,0.09447635015486365,0.11078104131270129,0.20336722756606818,0.07258103640687226,0.11592156187134937
2,2.4943496959255085,2.365219682672598,0.5333865086599817,0.6186131386861314,0.36013394226757306,0.43114235616513413,0.26766180492251596,0.31113138686131386,0.21884215866285991,0.2558857668055235,0.1279723147081454,0.13418231232866754,0.21884215866285991,0.2558857668055235,0.14511897217112177,0.16182882185128047
3,2.307089975343146,2.180226523510731,0.6255697356426618,0.6998175182481752,0.4090484954593338,0.4542597165725527,0.339334548769371,0.4096715328467153,0.27965745406943554,0.34002578728934274,0.19916619772538066,0.2497270296252992,0.27965745406943554,0.34002578728934274,0.21124055910661965,0.2644759742067243
4,2.1440967195340472,2.0191630829859823,0.6826572470373746,0.7381386861313869,0.4362491100326982,0.46369877892689115,0.4077028258887876,0.4908759124087591,0.3361444425995826,0.4078783008412723,0.2668383868484195,0.3414380521561107,0.3361444425995826,0.4078783008412723,0.27646929096284517,0.3501518902226086
5,2.0005317400451563,1.8743625957600392,0.7220829535095715,0.7572992700729927,0.4541902595022209,0.46254007659689356,0.4623974475843209,0.5337591240875912,0.38359898180720364,0.45122669536593185,0.32442334497563113,0.39290320927644296,0.38359898180720364,0.45122669536593185,0.33100366551996147,0.3998088960664986
6,1.8728996841279397,1.7434153878775827,0.75,0.7709854014598541,0.46155239206313436,0.45440580211851717,0.5018231540565178,0.5556569343065694,0.4184804151926458,0.4656340644361764,0.36485128641916387,0.4159460686092829,0.4184804151926458,0.4656340644361764,0.3700521021313904,0.4208732363733932
7,1.764353407820247,1.6306853442296494,0.7678896991795807,0.8029197080291971,0.46214587761661413,0.47367238704740566,0.5222196900638104,0.5775547445255474,0.4421811160939655,0.49663906674968067,0.3921163667234488,0.43858041793760594,0.4421811160939655,0.49663906674968067,0.39630490294577,0.44899794970550677
8,1.661803414958547,1.531347969587702,0.7948951686417502,0.8375912408759124,0.46936223720460996,0.47891335156712217,0.5379443938012762,0.5985401459854015,0.4522713992299823,0.5133779285489207,0.40846527006677474,0.467805956456348,0.4522713992299823,0.5133779285489207,0.41134984690760523,0.4716772571967466
9,1.5755352466456327,1.4405071848500384,0.8183682771194166,0.864963503649635,0.4722866751423399,0.4889191526131038,0.5665451230628988,0.6122262773722628,0.48197261255604634,0.5427934329440124,0.4413632933176042,0.49474328283193336,0.48197261255604634,0.5427934329440124,0.4428446598744925,0.49765249287342506
10,1.4958641578527396,1.3590943138964855,0.8343208751139471,0.8804744525547445,0.4756021333506896,0.48725172779420867,0.5818140382862352,0.6195255474452555,0.4916513290769041,0.5283927265418707,0.4524853796551281,0.48223956467678947,0.4916513290769041,0.5283927265418707,0.45444606372249485,0.488927964202679
