step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.2226417505045641,0.6316572679546628,0.8587055606198724,0.9662408759124088,0.46821967025738254,0.47742003180684833,0.6318368277119416,0.8093065693430657,0.5500086683273967,0.7334260414116573,0.5230822674760301,0.7216057631656201,0.5500086683273967,0.7334260414116573,0.5202610673197803,0.7161168379940256
2,0.5811763988398593,0.44674373749833907,0.9685505925250684,0.9844890510948905,0.4840836310071519,0.4896451258746377,0.8097082953509571,0.8613138686131386,0.7380843797160369,0.8025677917647536,0.7327157416420843,0.8025663453732094,0.7380843797160369,0.8025677917647536,0.7244646817092583,0.793666912038831
3,0.44366913476284786,0.3707662598386298,0.978236098450319,0.9835766423357665,0.48407019375939747,0.48151970562273566,0.8523245214220602,0.8795620437956204,0.7901100791522124,0.827407036602062,0.786167219084235,0.8349626521124457,0.7901100791522124,0.827407036602062,0.7787910910117811,0.8226131849045301
4,0.36908459603963056,0.32205007261984103,0.9846171376481313,0.9917883211678832,0.487181479320161,0.5096449743222146,0.8797857793983591,0.8868613138686131,0.8260213849538005,0.8377285488765606,0.8250309484539623,0.8339799968865667,0.8260213849538005,0.8377285488765606,0.8177005480991892,0.8285172755700828
5,0.3289082571626416,0.26430190986797325,0.987693710118505,0.9936131386861314,0.4915123167316155,0.49121021680588267,0.887306289881495,0.9114963503649635,0.8335136611731138,0.8679078438856306,0.8338398080363313,0.8648693781264507,0.8335136611731138,0.8679078438856306,0.8261941304072099,0.8601612516128234
