step,crossentropy,val crossentropy,res loss,val res loss,adv loss,val adv loss,resnet_acc,val resnet_acc,resnet_precission,val resnet_precission,resnet_recall,val resnet_recall,resnet_f1-score,val resnet_f1-score,adv_acc,val adv_acc,adv_precission,val adv_precission,adv_recall,val adv_recall,adv_f1-score,val adv_f1-score
1,-1.2006010436094725,-1.3294007778167725,0.24733509166309467,0.11522431795795758,1.447936122234051,1.4446250597635906,0.9098557692307693,0.9583333333333334,0.9098557692307693,0.9583333333333334,0.9098557692307693,0.9583333333333334,0.9098557692307693,0.9583333333333334,0.18629807692307693,0.21875,0.18629807692307693,0.21875,0.18629807692307693,0.21875,0.18629807692307693,0.21875
2,-1.4208874198106618,-1.364303429921468,0.0852449366178077,0.09914074527720611,1.506132355103126,1.4634441534678142,0.9699519230769231,0.9583333333333334,0.9699519230769231,0.9583333333333334,0.9699519230769231,0.9583333333333334,0.9699519230769231,0.9583333333333334,0.16706730769230768,0.22916666666666666,0.16706730769230768,0.22916666666666666,0.16706730769230768,0.22916666666666666,0.16706730769230768,0.22916666666666666
3,-1.4427427557798533,-1.393083930015564,0.06887451752733725,0.06287774660935004,1.5116172524598928,1.4559616645177205,0.9783653846153846,0.9791666666666666,0.9783653846153846,0.9791666666666666,0.9783653846153846,0.9791666666666666,0.9783653846153846,0.9791666666666666,0.17548076923076922,0.2604166666666667,0.17548076923076922,0.2604166666666667,0.17548076923076922,0.2604166666666667,0.17548076923076922,0.2604166666666667
4,-1.4580932672207172,-1.4393082459767659,0.06920933855984074,0.01871212509771188,1.5273026090401869,1.4580203692118328,0.9783653846153846,1.0,0.9783653846153846,1.0,0.9783653846153846,1.0,0.9783653846153846,1.0,0.171875,0.25,0.171875,0.25,0.171875,0.25,0.171875,0.25
5,-1.5025446460797236,-1.4147680203119914,0.04196886306342024,0.05263056171437105,1.5445134960688078,1.4673985640207927,0.984375,0.96875,0.984375,0.96875,0.984375,0.96875,0.984375,0.96875,0.171875,0.2604166666666667,0.171875,0.2604166666666667,0.171875,0.2604166666666667,0.171875,0.2604166666666667
6,-1.5177069031275237,-1.4908699194590251,0.032126748880658015,0.016538179169098537,1.5498336416024427,1.5074081420898438,0.9939903846153846,1.0,0.9939903846153846,1.0,0.9939903846153846,1.0,0.9939903846153846,1.0,0.17307692307692307,0.23958333333333334,0.17307692307692307,0.23958333333333334,0.17307692307692307,0.23958333333333334,0.17307692307692307,0.23958333333333334
7,-1.5671969973123991,-1.4525245428085327,0.026811906870884392,0.022941578800479572,1.5940089088219862,1.4754661719004314,0.9879807692307693,0.9895833333333334,0.9879807692307693,0.9895833333333334,0.9879807692307693,0.9895833333333334,0.9879807692307693,0.9895833333333334,0.17427884615384615,0.2604166666666667,0.17427884615384615,0.2604166666666667,0.17427884615384615,0.2604166666666667,0.17427884615384615,0.2604166666666667
8,-1.5520203984700716,-1.477454384167989,0.030798764935193155,0.026399661786854267,1.5828191683842585,1.5038540363311768,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.16947115384615385,0.22916666666666666,0.16947115384615385,0.22916666666666666,0.16947115384615385,0.22916666666666666,0.16947115384615385,0.22916666666666666
9,-1.5619787848912752,-1.4642846981684368,0.021477037395995397,0.03937233441198865,1.5834558285199678,1.5036570231119792,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.17668269230769232,0.2604166666666667,0.17668269230769232,0.2604166666666667,0.17668269230769232,0.2604166666666667,0.17668269230769232,0.2604166666666667
10,-1.5697645407456617,-1.4935731093088787,0.02371514664712147,0.013451773789711297,1.5934796929359436,1.507024884223938,0.9939903846153846,1.0,0.9939903846153846,1.0,0.9939903846153846,1.0,0.9939903846153846,1.0,0.17548076923076922,0.23958333333333334,0.17548076923076922,0.23958333333333334,0.17548076923076922,0.23958333333333334,0.17548076923076922,0.23958333333333334
