step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,3.6668390929698944,2.6896324157714844,0.369140625,0.25,0.17703860253095627,0.127480149269104,0.21875,0.078125,0.10627352818846703,0.0515873022377491,0.1284173270687461,0.02249041013419628,0.10627352818846703,0.0515873022377491,0.09510763827711344,0.022535929456353188
2,2.47613662481308,2.5402140617370605,0.376953125,0.359375,0.1690235109999776,0.17517507076263428,0.25390625,0.203125,0.10392861068248749,0.05816993489861488,0.09287577401846647,0.0277777798473835,0.10392861068248749,0.05816993489861488,0.07970378780737519,0.03572649508714676
3,2.357211947441101,2.3463728427886963,0.4609375,0.5,0.2109985388815403,0.204861119389534,0.314453125,0.34375,0.11756263393908739,0.10476191341876984,0.10687273880466819,0.05260942876338959,0.11756263393908739,0.10476191341876984,0.09022547537460923,0.06996337324380875
4,2.2112148702144623,2.238542318344116,0.474609375,0.5625,0.22486202977597713,0.27762627601623535,0.37109375,0.359375,0.16024440992623568,0.12905845046043396,0.1540616238489747,0.1695970743894577,0.16024440992623568,0.12905845046043396,0.12926185224205256,0.1164056584239006
5,2.102760910987854,2.1004385948181152,0.5,0.53125,0.2649309057742357,0.23555555939674377,0.388671875,0.359375,0.1821004431694746,0.14047619700431824,0.18217103369534016,0.15467172861099243,0.1821004431694746,0.14047619700431824,0.15665177255868912,0.1243327260017395
6,1.9987110197544098,2.13940691947937,0.541015625,0.515625,0.2901522722095251,0.2566666603088379,0.3984375,0.375,0.19681095704436302,0.12444445490837097,0.19656021520495415,0.08560091257095337,0.19681095704436302,0.12444445490837097,0.16738001443445683,0.09508015215396881
7,1.932490810751915,1.9391870498657227,0.556640625,0.578125,0.2847251910716295,0.2717948853969574,0.41015625,0.4375,0.18248508870601654,0.15897434949874878,0.1595311388373375,0.17863249778747559,0.18248508870601654,0.15897434949874878,0.14844546001404524,0.13361510634422302
8,1.8643342405557632,2.228442668914795,0.583984375,0.53125,0.3106516692787409,0.27218955755233765,0.4375,0.34375,0.20794350001960993,0.13094770908355713,0.1901368759572506,0.0924731194972992,0.20794350001960993,0.13094770908355713,0.17887453362345695,0.10707071423530579
9,1.7743712365627289,2.185891628265381,0.62109375,0.515625,0.397464819252491,0.31181973218917847,0.4375,0.3125,0.2396671064198017,0.12984693050384521,0.21828626468777657,0.1278911530971527,0.2396671064198017,0.12984693050384521,0.2034465130418539,0.11140863597393036
10,1.7067857533693314,2.141350507736206,0.6328125,0.5,0.39108266681432724,0.2292517125606537,0.470703125,0.375,0.2626003585755825,0.17135697603225708,0.2626963723450899,0.20624613761901855,0.2626003585755825,0.17135697603225708,0.23862374573946,0.1563873142004013
11,1.730449303984642,1.81085205078125,0.64453125,0.625,0.38865410536527634,0.3528183698654175,0.462890625,0.390625,0.2596078794449568,0.13340067863464355,0.28579687513411045,0.09663509577512741,0.2596078794449568,0.13340067863464355,0.2427129838615656,0.10598365217447281
12,1.7055438309907913,2.125642776489258,0.630859375,0.5625,0.38591061905026436,0.2784730792045593,0.470703125,0.390625,0.2742393724620342,0.16816392540931702,0.24826934933662415,0.17806777358055115,0.2742393724620342,0.16816392540931702,0.241667365655303,0.14043432474136353
13,1.6339056491851807,1.990885853767395,0.6796875,0.609375,0.47570379450917244,0.39515307545661926,0.490234375,0.40625,0.30624266527593136,0.23078231513500214,0.32812171056866646,0.18622449040412903,0.30624266527593136,0.23078231513500214,0.275327168405056,0.19785353541374207
14,1.5413376837968826,2.161109209060669,0.6953125,0.53125,0.46103348955512047,0.3243464231491089,0.501953125,0.296875,0.3103440310806036,0.16813726723194122,0.29219009913504124,0.09893901646137238,0.3103440310806036,0.16813726723194122,0.27873118594288826,0.11269515752792358
15,1.5196021497249603,1.9328852891921997,0.67578125,0.609375,0.4575672671198845,0.358787477016449,0.5078125,0.4375,0.3342045843601227,0.23913294076919556,0.31836746633052826,0.22850970923900604,0.3342045843601227,0.23913294076919556,0.2909188624471426,0.22835776209831238
16,1.5033793449401855,1.8755534887313843,0.693359375,0.609375,0.4525030553340912,0.36272674798965454,0.509765625,0.46875,0.32945968210697174,0.2570861876010895,0.3451249226927757,0.2083333432674408,0.32945968210697174,0.2570861876010895,0.31187825463712215,0.2211838960647583
17,1.349014401435852,1.8297052383422852,0.740234375,0.6875,0.5204741396009922,0.46124711632728577,0.552734375,0.4375,0.36901088804006577,0.27174580097198486,0.355985913425684,0.25606757402420044,0.36901088804006577,0.27174580097198486,0.33921925351023674,0.24722610414028168
18,1.3113128989934921,2.594271659851074,0.734375,0.484375,0.48153554275631905,0.33277779817581177,0.57421875,0.296875,0.38492757454514503,0.19277778267860413,0.39634040370583534,0.11679293215274811,0.38492757454514503,0.19277778267860413,0.3551001287996769,0.13317203521728516
19,1.278334230184555,1.8313337564468384,0.763671875,0.640625,0.5579439736902714,0.37074828147888184,0.5859375,0.4375,0.41273223981261253,0.2626373767852783,0.4117239639163017,0.27782732248306274,0.41273223981261253,0.2626373767852783,0.3835802376270294,0.2526540160179138
20,1.2510977983474731,1.993580937385559,0.7734375,0.640625,0.5329780578613281,0.35236304998397827,0.599609375,0.453125,0.4307842031121254,0.2709658741950989,0.4059463106095791,0.21537131071090698,0.4307842031121254,0.2709658741950989,0.38676056638360023,0.22859245538711548
