step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.1703905885123946,0.6127391271021244,0.8609845031905196,0.947992700729927,0.44227385838111094,0.49330612320969575,0.5990200546946217,0.7801094890510949,0.4988232283133915,0.6942436344867206,0.47733746326902887,0.6909229960972375,0.4988232283133915,0.6942436344867206,0.4727692928168593,0.6823430217965676
2,0.8393945621756146,0.5178147641139744,0.9266180492251596,0.9781021897810219,0.466105694445351,0.5017246406008727,0.7055606198723792,0.8202554744525548,0.6059203216960567,0.7397144181232382,0.5989397790082607,0.7349344106921314,0.6059203216960567,0.7397144181232382,0.5887186920665944,0.7278089922492521
3,0.8120864376785707,0.5402477775176946,0.9308340929808568,0.9753649635036497,0.4731986549162495,0.4996378880782719,0.720943482224248,0.8102189781021898,0.6219307433783248,0.7316334330252487,0.6144389605850877,0.7359053425110169,0.6219307433783248,0.7316334330252487,0.6050352646460725,0.7220942715223688
4,0.737299692766943,0.46548717281352864,0.939721969006381,0.9744525547445255,0.48282130039488064,0.49072539110253327,0.7419097538742023,0.8202554744525548,0.6456876842979148,0.7373137678543147,0.6388313172278126,0.7415696491290183,0.6456876842979148,0.7373137678543147,0.6298858319106109,0.727980303503301
5,0.7357368671259722,0.5109348962368974,0.9442798541476755,0.9671532846715328,0.4830968149053909,0.5051213139600127,0.7404284412032817,0.8302919708029197,0.6431193056846599,0.7500056626587889,0.6375728745213833,0.7501313236072986,0.6431193056846599,0.7500056626587889,0.6279880263407119,0.7412917722750755
6,0.7220396764207981,0.44668175826651335,0.940975387420237,0.9790145985401459,0.4756116422883141,0.5413749905398292,0.7555834092980857,0.8448905109489051,0.6624823163926548,0.7770710411298014,0.6563034604626997,0.766626133318365,0.6624823163926548,0.7770710411298014,0.6471992973900428,0.7631391027983088
7,0.6948942701296614,0.47400461121319526,0.9484958979033729,0.9799270072992701,0.47809803102814075,0.48996766335772773,0.7707383773928898,0.8467153284671532,0.6772424612761413,0.7794630936462513,0.6729949284871274,0.7835642040645989,0.6772424612761413,0.7794630936462513,0.6636226697601616,0.7728248915098009
8,0.66980315088876,0.35050362944059127,0.9508887876025525,0.9808394160583942,0.4814381114221641,0.4825325305879551,0.7700546946216955,0.875,0.6790980936835436,0.8172755324057419,0.6730113563449576,0.8136875912220809,0.6790980936835436,0.8172755324057419,0.6640891607039172,0.8069852155490513
9,0.6845559025573357,0.34996206893408877,0.9456472196900638,0.9863138686131386,0.47740059653628164,0.5099960528586033,0.7670920692798542,0.8832116788321168,0.6789977986606665,0.8283417510942821,0.6734079542207305,0.8356447861577473,0.6789977986606665,0.8283417510942821,0.6643687283370641,0.8237575929965416
10,0.6615726196537356,0.33896102242674814,0.9503190519598906,0.9835766423357665,0.48039624920843293,0.5138756778553455,0.7760938924339107,0.8786496350364964,0.6881469379679225,0.8183410311267324,0.6817970502520542,0.8141925156551556,0.6881469379679225,0.8183410311267324,0.6732242403241212,0.8096271894709037
