step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.0849155454625568,0.5906952013173242,0.8769371011850501,0.9552919708029197,0.4454340717178806,0.4900485710070951,0.6313810391978122,0.7864963503649635,0.5343273315534552,0.7094742970092454,0.5165946413130383,0.6943336200975153,0.5343273315534552,0.7094742970092454,0.5101986499511745,0.6900558241092376
2,0.8466340543204747,0.5238044348402615,0.9228577939835916,0.9753649635036497,0.46260470738710874,0.5225038922181094,0.7106882406563355,0.8166058394160584,0.6114102669719033,0.7480904718820196,0.6028577898957562,0.7391937133604592,0.6114102669719033,0.7480904718820196,0.5934739933232883,0.7324632430163613
3,0.8064589537298111,0.6149428261471165,0.9306061987237921,0.9662408759124088,0.46632851342396403,0.5098775945005626,0.7323381950774841,0.7801094890510949,0.6321336415103054,0.7044411296174474,0.6288624850892162,0.6973386777796015,0.6321336415103054,0.7044411296174474,0.617609673212796,0.6873924581021288
4,0.759124712943827,0.4365563285868465,0.9359617137648131,0.9808394160583942,0.4659147891627732,0.49426264310405205,0.7415679124886053,0.8512773722627737,0.6423556359727598,0.7882030040678316,0.6366658019531881,0.7920891888385272,0.6423556359727598,0.7882030040678316,0.6269922172115843,0.7806279981223336
5,0.7179410988180546,0.7142120619188913,0.9394940747493163,0.9598540145985401,0.47060559771499966,0.49678117493643376,0.7602552415679125,0.7490875912408759,0.6642816387857213,0.6656349379650868,0.662407505112881,0.6458494751340281,0.6642816387857213,0.6656349379650868,0.6513818289843493,0.6411581491901926
