step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,3.2295541763305664,2.3684229850769043,0.3293650870521863,0.3333333432674408,0.16682574960092703,0.1818181872367859,0.20634921391805014,0.2857142984867096,0.08599645008022587,0.09090909361839294,0.07396167314921816,0.027272729203104973,0.08599645008022587,0.09090909361839294,0.060441754292696714,0.0419580414891243
2,2.4409586787223816,2.1106104850769043,0.426587304721276,0.5714285969734192,0.2435761677722136,0.27142858505249023,0.25992064240078133,0.4285714328289032,0.1205649400750796,0.16153846681118011,0.07156056041518848,0.09801865369081497,0.1205649400750796,0.16153846681118011,0.07683001303424437,0.11762139201164246
3,2.2611921032269797,1.917149543762207,0.4900793681542079,0.5952380895614624,0.26628226911028224,0.3425000011920929,0.347222230086724,0.4047619104385376,0.15874101780354977,0.13833333551883698,0.11386056027064721,0.1599999964237213,0.15874101780354977,0.13833333551883698,0.11249500357856353,0.11600000411272049
4,2.1897183855374656,2.07049298286438,0.4900793706377347,0.4761904776096344,0.26015280559659004,0.2779220938682556,0.3551587387919426,0.3095238208770752,0.15618216122190157,0.13506494462490082,0.13645264133810997,0.13446970283985138,0.15618216122190157,0.13506494462490082,0.12640441892047724,0.10022301226854324
5,2.056797613700231,1.9602081775665283,0.5416666766007742,0.523809552192688,0.310560738046964,0.2666666805744171,0.3769841343164444,0.380952388048172,0.19552015513181686,0.1736111044883728,0.16684457225104174,0.1423611044883728,0.19552015513181686,0.1736111044883728,0.16311320786674818,0.14267677068710327
6,1.9861637850602467,1.8728058338165283,0.547619049747785,0.5476190447807312,0.3198438410957654,0.2620879113674164,0.3750000099341075,0.3571428656578064,0.19335583907862505,0.13223442435264587,0.1720697016765674,0.07365460693836212,0.19335583907862505,0.13223442435264587,0.15703356948991617,0.0933150202035904
7,1.9570728838443756,1.828676462173462,0.5476190547148386,0.6190476417541504,0.32335205127795535,0.41074949502944946,0.3988095298409462,0.4047619104385376,0.22367105136315027,0.20384615659713745,0.19733751192688942,0.12654761970043182,0.22367105136315027,0.20384615659713745,0.1849057221164306,0.15009745955467224
8,1.8313579559326172,1.8629109859466553,0.5892857139309248,0.6190476417541504,0.3658086682359378,0.37227773666381836,0.4345238159100215,0.4523809552192688,0.2608976388971011,0.19632035493850708,0.21214681367079416,0.2434210628271103,0.2608976388971011,0.19632035493850708,0.2161549168328444,0.17777778208255768
9,1.8021402060985565,1.7762371301651,0.5853174751003584,0.5714285969734192,0.39687811583280563,0.3595959544181824,0.4285714377959569,0.4047619104385376,0.2800154822568099,0.16767677664756775,0.25863223647077876,0.15432900190353394,0.2800154822568099,0.16767677664756775,0.24257331155240536,0.14154838025569916
10,1.6850359638532002,1.8584280014038086,0.6428571492433548,0.5952380895614624,0.4485817303260167,0.29078614711761475,0.4722222263614337,0.4047619104385376,0.30926906565825146,0.15140415728092194,0.27027179549137753,0.10890151560306549,0.30926906565825146,0.15140415728092194,0.2622932940721512,0.1256684511899948
11,1.630208045244217,2.209608793258667,0.6448412636915842,0.4047619104385376,0.42292411997914314,0.27014654874801636,0.4841269900401433,0.190476194024086,0.2773115783929825,0.1776455193758011,0.28137000401814777,0.1527777761220932,0.2773115783929825,0.1776455193758011,0.2595048323273659,0.15959596633911133
12,1.6518741150697072,1.8519721031188965,0.6567460348208746,0.6190476417541504,0.4447166596849759,0.4294871985912323,0.4940476318200429,0.380952388048172,0.34394314885139465,0.2242063581943512,0.31352247049411136,0.18584656715393066,0.34394314885139465,0.2242063581943512,0.3079603674511115,0.18628047406673431
13,1.5333771010239918,1.712823748588562,0.698412706454595,0.6190476417541504,0.48468969762325287,0.4606303572654724,0.517857146759828,0.4523809552192688,0.34413119157155353,0.3180652856826782,0.3402426565686862,0.2947288155555725,0.34413119157155353,0.3180652856826782,0.31635277966658276,0.30038851499557495
14,1.3717612425486247,1.7944742441177368,0.7281746019919714,0.6428571343421936,0.5051199818650881,0.5328571796417236,0.549603189031283,0.4047619104385376,0.36053552478551865,0.25857141613960266,0.37161392718553543,0.2630718946456909,0.36053552478551865,0.25857141613960266,0.3454279191792011,0.24634920060634613
15,1.284404307603836,1.981235146522522,0.7559523830811182,0.5,0.561648411055406,0.3125,0.5972222313284874,0.3571428656578064,0.4257442479332288,0.21969696879386902,0.4360434487462044,0.13295453786849976,0.4257442479332288,0.21969696879386902,0.400955634812514,0.16233766078948975
16,1.2240550915400188,2.515915870666504,0.7698412636915842,0.5,0.5416275312503179,0.3361111283302307,0.5972222238779068,0.3333333432674408,0.41867991040150326,0.2111111283302307,0.43236202498277027,0.24457070231437683,0.41867991040150326,0.2111111283302307,0.39736943940321606,0.20788690447807312
17,1.3296307623386383,1.7179839611053467,0.7440476218859354,0.738095223903656,0.5405649244785309,0.45902779698371887,0.5972222338120142,0.4523809552192688,0.4656130125125249,0.23298367857933044,0.496929536263148,0.19239601492881775,0.4656130125125249,0.23298367857933044,0.4333730985720952,0.20473970472812653
18,1.1596615960200627,2.2923989295959473,0.789682537317276,0.5952380895614624,0.5694444874922434,0.3730769455432892,0.628968263665835,0.2857142984867096,0.4927169258395831,0.16913215816020966,0.47597908104459447,0.12850679457187653,0.4927169258395831,0.16913215816020966,0.45942050342758495,0.1448718011379242
19,1.094083920121193,1.8843767642974854,0.8055555522441864,0.6428571343421936,0.5992120876908302,0.3817460536956787,0.670634925365448,0.4285714328289032,0.5274936904509863,0.266558438539505,0.5141477982203165,0.24583333730697632,0.5274936904509863,0.266558438539505,0.49554403871297836,0.23280763626098633
