step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.268767655876122,0.49768726858827805,0.8295739274717083,0.9828042222393883,0.6571718537689824,0.8017767833338844,0.5767543901150164,0.851851847436693,0.5183206756942367,0.8130074408319261,0.4945652842227566,0.807711124420166,0.5183206756942367,0.8130074408319261,0.4804497302607878,0.7896214889155494
2,0.4565928680822253,0.7866502321428723,0.9776002415700963,0.8968253897296058,0.791374950424621,0.7559864885277219,0.8486842054285502,0.7698412636915842,0.8009536468276852,0.7403453290462494,0.8023212422665796,0.677888853682412,0.8009536468276852,0.7403453290462494,0.7843647234533963,0.6827897495693631
3,0.34586257862515357,0.22583231205741564,0.9816729214630628,0.9933862355020311,0.7925307668353382,0.8066299888822768,0.8923872089699695,0.935185174147288,0.8568142109403485,0.9361900654104021,0.8598879854145803,0.9351268973615434,0.8568142109403485,0.9361900654104021,0.8439136645511577,0.9260870218276978
4,0.22579540196487582,0.17389977371527088,0.9893483633273527,0.9933862388134003,0.7947894142646539,0.7921296391222212,0.9270050035495507,0.9365079270468818,0.8960551360720083,0.9310232732031081,0.8975081400651681,0.929788844452964,0.8960551360720083,0.9310232732031081,0.8871252701470727,0.9200077321794298
5,0.2004243704049211,0.25096583283609813,0.9926378397565139,0.9894179834259881,0.8016810495602457,0.8369594117005666,0.935620291060523,0.9166666567325592,0.904620752130684,0.908694412973192,0.9047018869927055,0.9219847420851389,0.904620752130684,0.908694412973192,0.8959909940236493,0.9067515995767381
